,created_at,user,tweet
0,2022-10-24 23:53:50,pbrown4348,Explode after Extreme Flooding and Other Climate . Devastating in are driving the spread of disease — and climate change is making such more common .
1,2022-10-24 23:32:58,NgLabour,"News Flood : Obi , as , World on Climate Change"
2,2022-10-24 23:09:20,YahooNews,"expect these to arise more often in the future , with climate change is raising the risk of more intense , heat and flooding , as well as that are more conducive to mosquito development ..."
3,2022-10-24 23:09:18,timethief,Explode after Extreme Flooding and Other Climate . Devastating in are driving the spread of disease — and climate change is making such more common
4,2022-10-24 23:07:33,RustBeltMike,"Put underground . It ' s to build a climate - change - induced - flooding resistant car tunnel there now than it will be to rebuild everything for 2 west of the drive once we start getting once every 10 , 000 year every 5"
5,2022-10-24 22:03:36,KudiratSh2,"The world is flooding , let us take against climate change"
6,2022-10-24 21:32:56,knarfnamduh,"You do that with increasing climate change predictive forecasting based on past history is almost impossible , don ' t you ? Uncertainty over weather and flood Gold Coast with more La disruption ahead"
7,2022-10-24 20:59:07,2chevronsback,Please vote . Ensure your candidate is fighting climate change and is not a bigot
8,2022-10-24 20:53:30,weatheralert15,"24 , 2022 🇻🇪 | heavy severe in State flooding storm Channel :"
9,2022-10-24 20:41:53,terencescarter,"But that ' s , it ' s not like Mid ' s in the habit of housing on or anything ... and it ' s not like with climate change this kind of going to get worse ... weather : Flood Threat"
10,2022-10-24 20:20:11,srivlin,Loss of ' s access to reproductive care is flooding . Climate change is literally flooding . You ' re not for law & ; order if you Jan6 . besides cutting for the rich & ; for the rest of us .
11,2022-10-24 20:15:33,NuyddMu,"Our are amazing . They tackle climate change , protect wildlife , prevent flooding and help us to de - stress . I ’ my support for the campaign , calling for 100 , 000 of to be in the ."
12,2022-10-24 20:15:24,Bill_Flood,: How we manage could be crucial to climate change
13,2022-10-24 20:10:59,ChispaTexas,"Hurricane hit 5 ago . In a world without climate change , almost 50 , 000 would have been from flooding . It ’ s the health of . We need action to ensure people are from and flooding ."
14,2022-10-24 19:58:03,undesertdotcom,"Climate change catastrophic flood twice as likely , study | University of"
15,2022-10-24 19:30:22,davidonformosa,The flood - prone community of in is on the of climate change -
16,2022-10-24 19:14:48,europasaintsfc,It ’ s about time we stopped this climate change nonsense and deal with the stark reality that flooding is actually by the of Arsenal
17,2022-10-24 19:07:39,ResilienceUVA,"Natural can overwhelm water , especially older . As climate change and flooding , in water is a priority for public health and environmental justice across the U . S ."
18,2022-10-24 18:51:42,Equity06961592,", , canada , , Japan , South , have experienced flooding & ; it ' s - climate change ' s real . ' s flood worse due to water from dam in . Travel there & ; see what he did . Not ur principal in crude steal ..."
19,2022-10-24 18:51:34,MohdHAbdullahi,Excited to host the National President of to discuss the impact of flood & ; climate change on as a vulnerable group and mitigation via various . We also their participation at to rep gender .
20,2022-10-24 18:18:16,Connected_dev,"“ had enough time to set up and put in place , this flood is as a result of negligence and not taking climate change seriously ” We are and the health / food crisis it can lead to . Join the conversation"
21,2022-10-24 18:04:42,onochieanyaoku,"Is it not incredulous that after the massive 2012 flood and the massive of climate change that did not bother to produce a flood prevention , mitigation and management plan ? Irresponsible leadership of the worst kind . You bet this directive"
22,2022-10-24 17:51:12,MarcusSanford20,In 1897 OH had a rainstorm flood that had people from upper . Must have been climate change .
23,2022-10-24 17:44:01,RESCUE_UK,West and Central is devastating flooding which is affecting 5 million people in 19 across the region . Climate change is leading to the most severe catastrophe the region seen in many .
24,2022-10-24 17:37:12,gecko39,"From 2008 to 2019 , he on Panel on Climate Change , scientific body city ’ s to adapt infrastructure to climate . 21OCT2022 Most famously , he produced eerily precise where would flood ."
25,2022-10-24 17:27:46,RmdSentinel,"With climate change and extreme weather becoming more frequent , people are to provide feedback about how best to prepare for future flooding in B . C ."
26,2022-10-24 16:39:56,KarlieChronicle,An important look at the effects flooding will increasingly have on coastal by . Her account is a valuable source of on the effects of climate change and rising sea .
27,2022-10-24 16:24:23,Yakubu_Prince1,"Vice - president Prof . SAN on flooding , climate change and creation for the advancement of Nation Economy growth and it development ."
28,2022-10-24 16:14:31,Fos_Feminista,"We are deeply by the devastating in 🇳🇬. The country is suffering its worst flooding in a decade , largely because of climate change . This is a crisis that needs URGENT attention !"
29,2022-10-24 16:13:58,dejohncatalyst,CATALYST HIS GRIEF TO OF FLOOD IN AND ALSO FOR MAXIMUM PREPAREDNESS FOR CLIMATE CHANGE .
30,2022-10-24 16:01:14,GIOCanada,"As climate change to thrust into an increasingly unpredictable future , the province is calling on the public to provide input on a new plan to strengthen flood preparedness ."
31,2022-10-24 16:00:04,NWSBayArea,’ s extreme by climate change more unpredictable weather . We can go from - year to record - setting . Find more information on how to prepare for flood here :
32,2022-10-24 16:00:04,frankgalliford,"Climate change ‘ growing threat ’ to health in , expert Exclusive : Prof Dame Jenny of to food security , flooding and insect - borne"
33,2022-10-24 15:53:33,PanditRamJoshi,To make people believe in climate change … they should have the ability to change the weather however they want like the mysterious technology . Then they can create unprecedented and flood and scare people . Then people will do anything they want for climate .
34,2022-10-24 15:45:40,oladejiolalek20,"Vice - president Prof . SAN on flooding , climate change and creation for the advancement of Nation Economy growth ."
35,2022-10-24 15:45:40,AmooRonke,"Vice - president Prof . SAN on flooding , climate change and creation for the advancement of Nation Economy growth ."
36,2022-10-24 15:45:39,oladejiolalek20,"Vice - president Prof . SAN on flooding , climate change and creation for the advancement of Nation Economy growth ."
37,2022-10-24 15:44:03,DJforHumans,"Do also have to pay for the rising insurance of flood , fire , and wind insurance due to climate change ?"
38,2022-10-24 15:38:06,JunagarhMedia,It ' t be good but what needs is a / type flooding event to shut the moronic climate change percentage of climate change causing people up .
39,2022-10-24 15:36:47,AlexSKolker,"For many people , climate change our . This is the lab where I work one day this spring . As climate and sea rise , flooding . Climate change is a workplace issue . climate action"
40,2022-10-24 15:31:34,landatthebottom,"Oh , it its tweet explaining that the flood was down to climate change ."
41,2022-10-24 15:14:13,marthavalenta,"Gas are high . Inflation . How we move forward after the unprecedented drought , fire , flooding , and .... after seeing these early of Climate Change is on the ballot . Vote"
42,2022-10-24 14:57:37,raji_xo,Need this flood in to stop just so that the international community ’ t lump us into their climate change agenda Our government ’ s incompetence is .
43,2022-10-24 14:38:39,alexblac_ink,"State people , one of the most vulnerable in of flood and climate change , are the always the impact of climate change the most . You people won ' t take now that it ' s still early ."
44,2022-10-24 14:27:44,ekpesfrancis,“ The program is a well - thought out answer to the global value chain disruption by the the Crises as well as the flood by climate change ” ~ Vice President ably the President of
45,2022-10-24 14:13:40,SGirl15,"Explode after Extreme Flooding and Other Climate : “ Climate change ’ s ’ t the same across the world : The warmer atmosphere is holding more water , and rain are growing more extreme .” - Scientific"
46,2022-10-24 14:08:14,jeanmchard,When will those in power understand that we cannot continue to react to climate change ? At some point there will be one flood or fire or storm too many and no way to rebuild . Stop doing which make worse . No more fossil fuel / expansion .
47,2022-10-24 14:04:25,WRIRossCities,"In City , urban poor and the local government are more affordable , flood - resilient housing while to climate change . Learn more :"
48,2022-10-24 14:02:47,NnaanyiMmanya,blaming this flood on climate change solely are incredibly dense and exasperating .
49,2022-10-24 13:57:10,kasolyte,"Flooding in , , , and is to ? ... Unfortunately the same person that said he will not respond to climate change if the west to provide the finance donated 100m to the flood in unflooded"
